Submission ID,Respondent ID,Submitted at,Gender,Age,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?
gQB2XO,qBYW0G,2024-03-28 14:07:09,Male,23,AI Generated,10,7,Human Created,7,9,AI Generated,9,6,Human Created,8,9,Human Created,9,9,Human Created,10,10,Human Created,8,9,Human Created,9,9,AI Generated,8,8,AI Generated,9,9,Human Created,8,9,Human Created,9,9,Human Created,9,9,Human Created,8,9,Human Created,8,9,AI Generated,9,8,AI Generated,8,9,AI Generated,9,9,Human Created,7,9,Human Created,7,9
Yo2E4q,0Mbj5y,2024-03-28 14:37:43,Male,22,AI Generated,5,8,AI Generated,5,9,Human Created,7,9,AI Generated,9,6,AI Generated,7,7,AI Generated,5,7,Human Created,7,6,AI Generated,8,7,Human Created,7,9,AI Generated,8,7,AI Generated,7,6,AI Generated,8,7,Human Created,5,7,Human Created,8,7,AI Generated,7,6,AI Generated,8,7,Human Created,8,7,AI Generated,8,7,AI Generated,8,7,AI Generated,8,9
8J7G1P,Qr8Y8l,2024-03-29 7:39:50,Male,24,AI Generated,7,9,AI Generated,7,10,Human Created,8,9,AI Generated,7,9,Human Created,7,9,Human Created,8,9,Human Created,7,9,Human Created,8,10,Human Created,8,10,Human Created,8,10,Human Created,8,10,Human Created,8,10,Human Created,7,10,AI Generated,7,10,Human Created,8,10,AI Generated,7,9,Human Created,9,10,AI Generated,6,10,Human Created,7,10,AI Generated,6,10
8J7jx5,XGOOW4,2024-03-29 8:54:51,Male,25,Human Created,8,7,AI Generated,8,7,Human Created,10,9,Human Created,8,9,Human Created,8,9,AI Generated,5,6,Human Created,8,7,Human Created,10,9,Human Created,7,5,AI Generated,7,7,AI Generated,8,7,AI Generated,8,9,Human Created,9,9,Human Created,8,8,Human Created,9,7,AI Generated,5,6,AI Generated,7,6,AI Generated,7,6,AI Generated,9,7,AI Generated,8,6
OjOd0R,oBlK65,2024-03-29 9:11:34,Male,24,Human Created,8,10,AI Generated,10,7,AI Generated,10,6,AI Generated,10,10,Human Created,10,5,AI Generated,10,4,Human Created,10,9,Human Created,10,10,Human Created,7,5,AI Generated,10,8,AI Generated,8,6,AI Generated,10,10,Human Created,7,8,AI Generated,6,2,AI Generated,10,2,Human Created,9,5,AI Generated,10,10,AI Generated,4,6,AI Generated,6,9,AI Generated,7,4
k0MJaM,4kPApo,2024-03-29 9:22:16,Male,23,AI Generated,6,6,AI Generated,9,4,AI Generated,8,7,Human Created,8,9,Human Created,9,7,Human Created,8,6,AI Generated,8,8,Human Created,9,7,AI Generated,8,4,Human Created,8,6,AI Generated,9,6,AI Generated,9,9,Human Created,10,7,Human Created,8,7,AI Generated,8,7,AI Generated,8,7,Human Created,9,8,AI Generated,7,8,Human Created,8,8,AI Generated,9,7
z0P14q,2kOlzM,2024-03-29 9:48:30,Female,19,AI Generated,6,6,AI Generated,6,8,Human Created,6,7,Human Created,7,8,Human Created,8,8,AI Generated,7,6,Human Created,8,6,Human Created,6,7,Human Created,5,6,AI Generated,8,5,AI Generated,8,6,Human Created,8,5,Human Created,8,6,AI Generated,7,5,Human Created,6,6,AI Generated,8,5,AI Generated,6,6,Human Created,7,8,Human Created,6,7,AI Generated,7,4
RZEk1j,qBjkYg,2024-03-29 10:03:57,Male,22,Human Created,7,7,AI Generated,7,4,Human Created,5,5,AI Generated,8,7,AI Generated,9,6,Human Created,6,7,Human Created,4,9,AI Generated,7,5,Human Created,3,4,AI Generated,8,6,AI Generated,7,8,Human Created,3,7,AI Generated,7,7,AI Generated,4,5,AI Generated,8,5,AI Generated,7,7,AI Generated,8,4,AI Generated,7,4,Human Created,5,8,AI Generated,4,6
o0XvJ1,912o4p,2024-03-29 10:06:46,Female,19,Human Created,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,Human Created,10,10
8J7MOA,dAQkRq,2024-03-29 10:07:00,Female,20,Human Created,10,10,AI Generated,8,7,Human Created,10,8,AI Generated,10,10,AI Generated,8,10,AI Generated,10,9,Human Created,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,AI Generated,10,10,Human Created,10,10,AI Generated,10,10
