Submission ID,Respondent ID,Submitted at,Gender,Age,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?
z0kP9Z,zzZpaZ,2024-03-28 3:35:35,Male,10,Human Created,9,9,AI Generated,9,9,AI Generated,9,9,Human Created,9,9,AI Generated,9,9,Human Created,9,9,AI Generated,9,9,AI Generated,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,10,AI Generated,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10
k02Vzo,XGBvbP,2024-03-28 3:50:15,Female,26,AI Generated,7,8,Human Created,6,8,Human Created,7,9,AI Generated,7,7,AI Generated,7,9,Human Created,8,8,Human Created,9,7,Human Created,9,9,Human Created,8,9,AI Generated,8,8,Human Created,8,7,AI Generated,8,8,Human Created,9,9,Human Created,9,9,AI Generated,9,9,Human Created,9,9,Human Created,9,8,AI Generated,9,8,Human Created,9,9,Human Created,9,8
KP9qN8,xQNLK5,2024-03-28 3:52:48,Female,22,Human Created,7,8,AI Generated,4,5,Human Created,7,9,Human Created,8,8,AI Generated,6,9,Human Created,8,6,Human Created,8,6,Human Created,7,8,Human Created,8,7,Human Created,6,9,AI Generated,7,9,Human Created,7,9,Human Created,8,7,Human Created,8,6,AI Generated,6,9,Human Created,7,5,Human Created,8,9,Human Created,8,8,Human Created,9,9,Human Created,6,7
r0XjML,8kpYvk,2024-03-28 4:53:41,Male,23,Human Created,9,9,AI Generated,9,9,Human Created,9,8,AI Generated,7,9,AI Generated,7,10,Human Created,9,7,Human Created,8,6,Human Created,8,6,AI Generated,9,7,AI Generated,8,8,Human Created,9,10,AI Generated,6,8,Human Created,8,6,Human Created,10,10,AI Generated,9,9,Human Created,8,7,AI Generated,9,9,Human Created,8,8,Human Created,10,8,Human Created,9,8
2b2j7e,xQNb9J,2024-03-28 5:07:14,Female,24,Human Created,6,8,AI Generated,9,4,Human Created,7,7,AI Generated,8,8,Human Created,7,8,Human Created,6,6,Human Created,6,5,Human Created,7,6,Human Created,6,6,AI Generated,7,6,AI Generated,5,7,Human Created,7,7,AI Generated,8,6,Human Created,6,6,AI Generated,7,7,AI Generated,7,4,AI Generated,7,7,AI Generated,6,5,Human Created,7,7,Human Created,7,7
0b4drA,eAxOGk,2024-03-28 5:15:59,Female,24,AI Generated,7,5,Human Created,6,9,Human Created,8,8,Human Created,5,7,AI Generated,3,9,AI Generated,6,5,Human Created,10,7,Human Created,9,8,AI Generated,3,5,Human Created,7,7,Human Created,8,7,AI Generated,5,8,AI Generated,6,5,Human Created,10,10,Human Created,7,8,AI Generated,6,5,Human Created,4,7,Human Created,6,8,Human Created,3,7,Human Created,5,4
QxG1xA,jM98D6,2024-03-28 5:23:25,Female,25,Human Created,10,10,Human Created,6,4,Human Created,10,10,AI Generated,8,8,AI Generated,8,9,AI Generated,10,5,Human Created,7,5,AI Generated,7,7,Human Created,9,6,AI Generated,10,6,AI Generated,10,7,Human Created,9,8,AI Generated,10,6,Human Created,10,10,AI Generated,10,6,Human Created,8,6,AI Generated,8,7,AI Generated,4,6,Human Created,10,10,Human Created,10,8
o0JDa5,kAR8oo,2024-03-28 5:46:32,Female,24,Human Created,8,10,Human Created,8,8,Human Created,8,10,AI Generated,7,10,Human Created,10,10,AI Generated,8,10,Human Created,10,10,Human Created,10,10,AI Generated,8,6,Human Created,7,10,Human Created,10,10,AI Generated,8,9,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,AI Generated,7,10
RZOMYK,JRkv0X,2024-03-28 5:57:50,Female,23,Human Created,8,8,Human Created,7,7,AI Generated,8,8,AI Generated,6,6,AI Generated,6,6,AI Generated,7,7,Human Created,7,7,Human Created,7,7,AI Generated,8,8,Human Created,7,7,AI Generated,6,6,Human Created,6,6,Human Created,6,6,Human Created,9,9,AI Generated,7,7,Human Created,7,7,Human Created,7,7,AI Generated,9,9,Human Created,9,9,Human Created,7,7
b2ajvg,bk4QKZ,2024-03-28 6:00:41,Female,24,AI Generated,8,7,Human Created,5,3,Human Created,8,9,Human Created,5,8,Human Created,7,6,AI Generated,5,5,Human Created,7,10,Human Created,8,10,Human Created,8,6,Human Created,6,3,AI Generated,6,8,AI Generated,5,4,AI Generated,3,4,Human Created,7,4,AI Generated,6,4,Human Created,6,3,AI Generated,7,3,AI Generated,7,4,Human Created,8,10,AI Generated,5,3
ZGxOeB,rKrZPv,2024-03-28 6:18:28,Female,22,AI Generated,8,7,Human Created,5,5,Human Created,6,9,Human Created,9,9,AI Generated,8,6,AI Generated,8,6,Human Created,10,7,Human Created,8,6,Human Created,8,7,Human Created,7,5,Human Created,8,7,AI Generated,8,7,Human Created,9,8,Human Created,10,7,Human Created,6,7,AI Generated,6,4,Human Created,8,9,Human Created,6,10,Human Created,9,7,Human Created,8,8
RZOpQ9,oB0dXP,2024-03-28 14:07:31,Female,25,Human Created,5,8,AI Generated,6,7,Human Created,5,7,AI Generated,4,7,AI Generated,8,9,Human Created,8,5,Human Created,2,7,Human Created,4,9,Human Created,4,5,AI Generated,5,5,AI Generated,7,8,AI Generated,2,7,Human Created,6,9,Human Created,6,8,AI Generated,7,8,Human Created,6,6,AI Generated,4,5,Human Created,6,5,Human Created,6,5,Human Created,6,7
OjRpYM,lA0l8W,2024-03-28 14:39:50,Female,29,Human Created,7,7,AI Generated,7,6,AI Generated,6,5,AI Generated,7,8,Human Created,7,8,AI Generated,6,5,Human Created,7,6,AI Generated,5,4,Human Created,5,4,Human Created,6,6,Human Created,7,5,Human Created,7,5,Human Created,7,6,AI Generated,6,5,AI Generated,6,4,Human Created,6,4,Human Created,6,5,Human Created,6,5,Human Created,6,4,AI Generated,5,4
eN45Mo,8kJjYr,2024-03-28 15:14:17,Female,22,AI Generated,8,8,AI Generated,8,8,Human Created,9,8,Human Created,9,8,AI Generated,7,8,AI Generated,8,5,Human Created,10,5,Human Created,10,7,Human Created,8,8,Human Created,8,8,Human Created,8,7,AI Generated,9,8,Human Created,10,8,Human Created,10,7,AI Generated,7,8,AI Generated,8,4,Human Created,9,9,Human Created,5,9,Human Created,9,6,Human Created,7,8
z0PzNE,zzZpaZ,2024-03-29 7:06:08,Male,27,AI Generated,7,3,Human Created,5,5,Human Created,4,3,Human Created,7,3,Human Created,6,5,AI Generated,7,2,Human Created,8,6,AI Generated,4,5,AI Generated,8,2,AI Generated,8,2,Human Created,7,6,AI Generated,8,4,AI Generated,8,2,AI Generated,8,1,AI Generated,9,3,Human Created,8,3,AI Generated,9,3,Human Created,6,4,Human Created,9,6,AI Generated,8,2
j01MW4,zzZpaZ,2024-03-29 7:11:11,Male,23,Human Created,10,7,Human Created,10,7,Human Created,10,9,Human Created,10,8,AI Generated,10,10,Human Created,10,6,Human Created,10,5,Human Created,10,6,Human Created,10,8,Human Created,10,8,Human Created,10,9,Human Created,10,8,Human Created,10,8,Human Created,10,6,Human Created,10,8,Human Created,10,6,Human Created,10,8,Human Created,10,10,Human Created,10,6,Human Created,10,7
JV5L77,xQ9Prk,2024-03-29 7:53:31,Male,20,Human Created,8,9,Human Created,8,9,Human Created,9,9,Human Created,8,8,Human Created,8,8,Human Created,9,9,Human Created,6,9,Human Created,7,8,AI Generated,7,7,Human Created,8,8,AI Generated,7,9,Human Created,7,9,Human Created,7,9,Human Created,7,6,AI Generated,7,9,Human Created,7,8,Human Created,9,10,AI Generated,8,9,AI Generated,8,10,Human Created,7,9
7JBo8z,zzZpaZ,2024-03-30 8:10:01,Male,30,AI Generated,5,8,Human Created,5,8,Human Created,6,8,AI Generated,6,6,Human Created,6,6,AI Generated,6,6,Human Created,6,6,Human Created,5,6,AI Generated,6,6,AI Generated,5,5,Human Created,6,6,AI Generated,6,6,Human Created,6,6,Human Created,6,7,AI Generated,8,8,Human Created,7,7,AI Generated,6,6,AI Generated,7,7,Human Created,7,7,AI Generated,7,7
61b9RB,zzZpaZ,2024-03-30 11:42:45,Male,28,Human Created,9,8,Human Created,9,8,Human Created,9,9,AI Generated,9,8,AI Generated,9,8,Human Created,10,9,Human Created,9,10,AI Generated,9,8,Human Created,9,8,Human Created,9,7,Human Created,10,10,AI Generated,8,10,Human Created,9,8,AI Generated,9,10,AI Generated,10,8,AI Generated,9,8,AI Generated,10,10,AI Generated,9,8,AI Generated,8,8,Human Created,10,8
qYx1O2,VlbJvv,2024-03-30 13:53:25,Female,23,Human Created,10,9,Human Created,7,7,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,10,10
eN1XvE,8k6QGr,2024-03-30 14:10:59,Male,21,AI Generated,8,9,AI Generated,8,9,AI Generated,8,9,AI Generated,9,9,AI Generated,9,9,Human Created,8,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,AI Generated,8,8,AI Generated,8,8,Human Created,8,9,Human Created,8,8,Human Created,9,9,AI Generated,8,9,Human Created,9,9,AI Generated,9,9,AI Generated,8,8,AI Generated,9,9,Human Created,8,9
JVaaMr,axA0vX,2024-03-30 15:59:41,Male,25,Human Created,7,6,Human Created,8,6,Human Created,8,7,AI Generated,7,8,AI Generated,8,7,Human Created,8,5,Human Created,8,8,Human Created,8,7,Human Created,8,7,AI Generated,8,5,AI Generated,6,4,AI Generated,6,3,Human Created,7,5,Human Created,8,5,Human Created,8,7,AI Generated,5,2,AI Generated,6,3,Human Created,7,4,AI Generated,5,2,Human Created,6,4
lVbRbv,OPoAD7,2024-03-31 7:35:54,Male,30,Human Created,9,8,Human Created,8,6,Human Created,9,7,AI Generated,5,4,AI Generated,8,5,Human Created,7,6,Human Created,9,6,Human Created,7,7,Human Created,6,5,AI Generated,5,5,AI Generated,6,6,AI Generated,7,6,Human Created,7,4,Human Created,9,7,AI Generated,10,5,Human Created,6,5,Human Created,6,5,AI Generated,10,5,Human Created,8,6,Human Created,7,6
r2jXKl,WojkXe,2024-03-31 14:53:20,Male,23,AI Generated,6,7,AI Generated,9,3,Human Created,8,8,Human Created,9,9,Human Created,7,7,AI Generated,7,7,Human Created,6,7,Human Created,10,10,AI Generated,9,1,AI Generated,7,5,Human Created,8,8,AI Generated,7,7,Human Created,9,9,Human Created,10,9,Human Created,8,9,AI Generated,7,4,Human Created,6,6,Human Created,7,7,Human Created,9,9,AI Generated,7,7
M81K4A,jMk8Nx,2024-03-31 16:28:53,Female,23,AI Generated,6,8,AI Generated,5,5,AI Generated,5,5,AI Generated,7,7,Human Created,6,6,AI Generated,6,7,Human Created,7,6,Human Created,8,6,AI Generated,8,6,AI Generated,7,5,Human Created,7,8,AI Generated,8,7,Human Created,9,9,AI Generated,7,6,AI Generated,7,9,AI Generated,8,8,Human Created,8,10,AI Generated,9,10,Human Created,9,10,Human Created,9,10
R8x1zj,Qr4Kvp,2024-04-01 12:40:44,Female,25,AI Generated,10,5,Human Created,6,8,Human Created,9,9,AI Generated,10,8,Human Created,8,9,AI Generated,10,4,Human Created,6,5,Human Created,10,9,AI Generated,7,5,AI Generated,10,7,AI Generated,9,8,AI Generated,9,6,Human Created,6,7,Human Created,10,10,Human Created,7,7,Human Created,8,6,Human Created,8,7,AI Generated,9,7,AI Generated,9,7,AI Generated,8,7
