Submission ID,Respondent ID,Submitted at,Gender,Age,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?
P2VOxB,ZVPdXo,2024-03-29 6:06:12,Female,22,Human Created,7,8,Human Created,7,7,Human Created,7,7,AI Generated,6,6,AI Generated,6,5,AI Generated,7,5,Human Created,7,5,Human Created,7,6,Human Created,6,5,Human Created,6,6,Human Created,6,6,AI Generated,5,5,AI Generated,6,5,Human Created,6,5,Human Created,6,6,AI Generated,6,5,AI Generated,6,6,Human Created,5,5,Human Created,6,6,Human Created,6,6
r0zP7R,B18Go5,2024-03-29 6:07:49,Female,24,Human Created,10,10,Human Created,8,9,Human Created,9,9,AI Generated,6,6,Human Created,8,8,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,9,9,Human Created,8,8,Human Created,9,9,Human Created,9,9,Human Created,10,10,Human Created,10,10,Human Created,10,10,Human Created,7,7,Human Created,10,10,Human Created,9,9,Human Created,6,6
LERW7G,zzWKV1,2024-03-29 6:11:25,Male,24,AI Generated,10,9,Human Created,7,7,Human Created,9,6,Human Created,9,8,AI Generated,8,6,Human Created,9,9,Human Created,7,4,AI Generated,8,9,Human Created,6,5,Human Created,8,10,AI Generated,6,8,Human Created,7,10,Human Created,9,7,Human Created,5,4,Human Created,7,9,AI Generated,7,5,Human Created,8,9,AI Generated,8,7,Human Created,9,8,AI Generated,6,8
OjO0PM,5kELRQ,2024-03-29 7:28:08,Female,25,Human Created,7,8,AI Generated,9,8,AI Generated,9,8,Human Created,8,9,AI Generated,9,9,Human Created,9,9,AI Generated,8,8,AI Generated,8,8,AI Generated,8,8,Human Created,8,8,Human Created,7,8,Human Created,9,9,Human Created,9,10,AI Generated,9,8,Human Created,8,9,AI Generated,9,8,Human Created,8,8,AI Generated,9,8,Human Created,9,9,AI Generated,9,8
DXgDNR,B18QB5,2024-03-29 7:58:29,Male,23,Human Created,10,6,AI Generated,10,5,Human Created,10,8,Human Created,7,8,AI Generated,10,10,Human Created,10,10,Human Created,10,2,Human Created,10,8,Human Created,10,5,AI Generated,10,7,Human Created,10,10,Human Created,10,10,Human Created,10,7,Human Created,10,7,AI Generated,10,8,Human Created,10,8,AI Generated,10,9,AI Generated,10,10,Human Created,10,5,Human Created,10,6
z0Pg88,yye1k8,2024-03-29 10:51:14,Male,20,AI Generated,7,6,Human Created,9,9,Human Created,10,8,AI Generated,7,10,AI Generated,10,8,Human Created,9,4,AI Generated,10,10,AI Generated,10,8,AI Generated,9,8,Human Created,10,9,Human Created,10,9,Human Created,10,9,AI Generated,10,9,AI Generated,10,7,Human Created,10,8,AI Generated,10,6,Human Created,10,9,AI Generated,10,7,Human Created,10,8,AI Generated,10,7
P2MRR1,PEvgAB,2024-03-30 4:36:27,Male,27,Human Created,9,9,AI Generated,10,9,Human Created,6,8,Human Created,8,7,AI Generated,8,6,Human Created,10,6,Human Created,5,9,AI Generated,7,10,AI Generated,4,8,Human Created,7,7,AI Generated,8,9,Human Created,8,7,Human Created,9,9,Human Created,10,8,AI Generated,9,8,AI Generated,9,9,Human Created,8,7,Human Created,10,6,Human Created,10,9,AI Generated,8,7
7JBeVL,qBJ5zO,2024-03-30 11:43:12,Male,24,AI Generated,8,10,AI Generated,10,9,Human Created,10,9,AI Generated,10,8,Human Created,10,10,AI Generated,10,10,Human Created,9,9,Human Created,9,9,AI Generated,10,10,Human Created,9,8,AI Generated,10,7,Human Created,9,9,Human Created,10,10,AI Generated,10,1,Human Created,10,8,AI Generated,10,8,Human Created,10,10,Human Created,9,9,Human Created,10,10,AI Generated,10,8
k0DpJj,XG85yY,2024-03-30 11:45:31,Male,20,Human Created,5,7,AI Generated,7,5,Human Created,8,8,Human Created,8,8,AI Generated,4,7,Human Created,7,4,Human Created,5,5,Human Created,7,5,AI Generated,7,5,Human Created,7,7,Human Created,8,9,Human Created,8,8,AI Generated,8,6,AI Generated,8,4,Human Created,8,7,AI Generated,9,6,Human Created,9,9,AI Generated,5,7,Human Created,8,8,Human Created,4,5
b2BXbe,B1jp4R,2024-03-30 13:02:20,Female,22,AI Generated,7,9,AI Generated,10,8,Human Created,8,9,Human Created,8,9,AI Generated,10,8,AI Generated,7,9,AI Generated,9,7,AI Generated,10,9,AI Generated,10,7,AI Generated,10,6,Human Created,9,9,AI Generated,10,7,Human Created,5,9,AI Generated,8,8,AI Generated,6,9,AI Generated,9,9,Human Created,7,10,AI Generated,10,6,Human Created,8,9,AI Generated,10,10
